,PC1,PC2,PC3,Group
uninfecraffspec-stemleaf.3,-0.4370342664103337,3.4879511574141566,0.7967958723417847,uninfecraffspec-stemleaf
nonhostILO,-11.664042873602547,5.908122104387201,-1.056361891554911,nonhostILO
nonhostILO.1,-11.424148606332281,6.015068472876236,-0.8444982261463129,nonhostILO
nonhostILO.2,-18.155109289862718,1.9416265375041797,-6.603497205323832,nonhostILO
nonhostILO.3,-17.51607903011684,1.918482847112573,-6.40224817844971,nonhostILO
nonhostILO.4,-18.228929734966684,3.1949608482957057,-6.248273524926555,nonhostILO
nonhostILO.5,-17.54356114475533,3.1301357232507225,-6.410691112387848,nonhostILO
nonhostILO.6,-9.866046269347821,5.0970716413459565,-0.2958381650124994,nonhostILO
nonhostILO.7,-9.92714635461344,5.295105779843499,-0.42747852784611134,nonhostILO
Ampelopsis,-0.5462771973200299,3.0829453101836086,0.12941559925359336,Ampelopsis
Ampelopsis.1,-0.5534946896581899,3.3589914759809036,0.5216699589684065,Ampelopsis
Ampelopsis.2,-0.8774553661553821,3.1508415635020754,6.187307394581644,Ampelopsis
Ampelopsis.3,-0.6210395063861033,3.253488286745489,5.985495690614358,Ampelopsis
Ampelopsis.4,-3.3491613261795163,0.9495128690100548,38.19105266655252,Ampelopsis
Ampelopsis.5,-2.824542801374275,1.3799677502908976,40.15414248149958,Ampelopsis
Ampelopsis.6,0.3639095090377118,4.287177210866352,47.720594302552875,Ampelopsis
Ampelopsis.7,-0.1437851034172553,3.6843969429342733,46.82989619023114,Ampelopsis
Ampelopsis.8,-4.404491797590142,6.1072663652390915,7.454626732487672,Ampelopsis
Ampelopsis.9,-4.4185011002642804,6.108206999781104,7.980597377867836,Ampelopsis
Ampelopsis.10,1.1786313457316635,5.845102004418004,12.42350983496142,Ampelopsis
Ampelopsis.11,1.0771923253313036,5.891272707331016,13.558734064411023,Ampelopsis
Ampelopsis.12,1.9970952933683146,-2.231768789554527,28.68731016303225,Ampelopsis
Ampelopsis.13,1.7004239700445887,-1.9708768315567362,27.197405815865665,Ampelopsis
