Feature_Label,RT,m/z,CAM_log2FC_recomputed,CAM_p_recomputed,ILO_log2FC_recomputed,ILO_p_recomputed,CAM_FDR_BH,ILO_FDR_BH
21.97 min | SEBACIC ACID,21.97,201.1121,,0.4485903421249837,2.2920487272387327,0.0191224329680718,0.5691897931973959,0.1297444316254605
22.01 min | Luteolin,22.01,285.03883,,0.0109114639841458,2.1764115518298017,0.0147889421111488,0.06175709738567766,0.11773215933663135
22.1 min | Phenylpyruvic acid,22.1,163.0399,-1.8555682776591595,0.1357791243540055,0.9486224160571368,0.1215872596544567,0.3118026551144127,0.26526383188436764
22.12 min | Dodecanedioic acid.mol,22.12,229.14431,0.3870231231092472,0.7717074459437849,-2.8292732785921326,0.0148015907674597,0.8306531432956874,0.11773215933663135
22.12 min | xi-7-Hydroxyhexadecanedioic acid,22.12,301.20209,-4.2989404343559725,0.1933654282485034,-0.4733839593323254,0.3989345192948733,0.35844457727148515,0.5358096967771407
22.14 min | Protobassic acid,22.14,503.3367,,0.2519462101095188,0.0421694542439395,0.9370545193269202,0.41970773963962055,0.9592826472872326
22.16 min | Indole-3-acetylglutamic acid,22.16,339.07493,-0.607588255686056,0.7567859336015289,0.496121649192983,0.0153870691747396,0.820990867481313,0.11940840313697407
22.25 min | 4'-O-methyl-(-)-epicatechin-3'-O-beta-glucuronide,22.25,529.11332,-0.6614963489104551,0.412900677099186,-1.5589589429735051,0.0056905250172833,0.5364537144686268,0.07704524557713958
22.26 min | Hulupinic acid,22.26,263.12803,-3.273018494406416,0.9094409074505432,1.171964146715911,0.0480418420465968,0.9365681530120806,0.16816845311326875
22.42 min | glutamic acid betaine,22.42,581.203,1.7322036754609813,0.1100081202368069,2.1268491743758458,0.0199888997795147,0.2737534187021268,0.1311929566872451
22.44 min | kaempferide 3-glucoside-7-rhamnoside,22.44,643.23973,-1.7524724451766904,0.0089672750841801,1.72011956789878,0.0763219124393802,0.054077759350448555,0.21038036143469874
22.65 min | (-)-Epigallocatechin 3-cinnamate,22.65,435.10825,0.7369655941662062,0.7424568959825332,2.827037287919304,0.111430621909322,0.8098996629951646,0.253101461935483
22.65 min | 8-Hydroxypinoresinol 8-glucoside,22.65,571.16062,-1.1617510699966125,0.4753794226844881,0.0935967190527231,0.898547485152924,0.5898463456669165,0.9370229131448325
22.69 min | (1'R)-Nepetalic acid,22.69,183.10199,,0.1323124901151114,,0.0877484796043489,0.3065831356526323,0.22440861172889967
22.8 min | glutamic acid betaine,22.8,581.20287,-12.636851156626534,0.0480537374800619,0.8166796214991617,0.3136545315744518,0.174240674338665,0.461787748512066
22.87 min | 1-(4-(5-Maleimidopentyl)aminobenzyl)ethylenediaminetetraacetic acid,22.87,597.19778,1.4963319580384822,0.0090701689902873,1.3783765267988235,0.0012759786300717,0.05428756977740073,0.03671096850268787
22.88 min | Hesperetin 7-glucoside,22.88,463.12202,6.114399372737086,0.0861078529244586,,0.0243380239365975,0.23408453718243571,0.13915775604662017
22.94 min | Methyl nomilinate 17-glucoside,22.94,761.28011,1.3169446873731063,0.1424947289847931,2.153887667450362,0.0269861801364766,0.3218440640465621,0.14514351119493596
23.04 min | ent-Epicatechin-(4alpha->8)-ent-epicatechin 3-gallate,23.04,765.12086,,0.3910022189557705,0.4387417598701125,0.9631980414342844,0.5172165367604589,0.9716409753256003
23.06 min | glutamic acid betaine,23.06,581.20051,1.1483934485720553,0.3141959689878515,0.5281814361817507,0.3193065628943791,0.49532492371258324,0.4676165040902837
23.1 min | kaempferol 3-rhamninoside,23.1,839.31167,0.2239946371361787,0.8244934419063992,1.9896084992051832,0.0023946426722228,0.8711747844473889,0.05605087339558791
23.14 min | kaempferide 3-glucoside-7-rhamnoside,23.14,643.23989,-1.4773616454881326,0.0006335424247479,1.4254078777965542,0.0028438022453508,0.010051105115999347,0.05947836142239788
23.15 min | Protobassic acid,23.15,503.33673,9.458406613236532,0.1668295354338539,3.974289880894105,0.2143920480714123,0.35844457727148515,0.36276378394112446
23.26 min | Pressinoic acid,23.26,773.24381,,0.1828606313887242,0.4046955550573847,0.1652798163629537,0.35844457727148515,0.31967986890369615
23.3 min | 2-[1-[2-[(4-Carbamimidoylbenzoyl)amino]-3-(4-hydroxyphenyl)propanoyl]piperidin-4-yl]oxyacetic acid,23.3,467.19184,,0.6527483068495376,0.3223153435921137,0.6886592322309673,0.7388896817698454,0.7888491972692571
23.3 min | 4-Methoxycinnamic acid,23.3,177.05443,-0.6301266171139165,0.5641861323616669,0.3026239945326213,0.64675167663193,0.6650898595078555,0.7567803087651116
23.31 min | (-)-Catechin gallate,23.31,441.08141,-2.953032377253239,0.002418236727977,0.1972854648343051,0.8488100903925815,0.02203976807670097,0.9044805052717245
23.4 min | glutamic acid betaine,23.4,581.20207,1.125911088975212,0.2745885841180437,0.9093705881409928,0.1896105179744657,0.44560145084255975,0.33831023943506094
23.4 min | Methylenediphosphonic acid,23.4,174.95574,0.2167411444044257,0.2551775503074613,-0.0297384094846442,0.9459618186711652,0.4225422026074389,0.9648251636520525
"23.48 min | 3-Hydroxylup-20(29)-ene-23,27,28-trioic acid",23.48,515.29983,0.1366886719683804,0.948267161303196,-3.68805599368526,0.3313327620386787,0.9621847331990765,0.4724309723039861
23.54 min | Phthalic acid,23.54,165.0191,0.1758824567387118,0.9399335631260438,,0.1154172828645628,0.9565572960037336,0.25833268660609604
23.54 min | 4-Hydroxyphenylpyruvic acid,23.54,179.03455,0.9506119730378364,0.6244737396970551,-2.361290527158136,0.0003894162610736,0.7162776034232833,0.02235924192074478
23.57 min | C.I. Acid Green 50,23.57,553.11172,-1.2403143293337104,0.0625616946311749,-2.560417379540283,0.0010837293714112,0.20636451920583254,0.03563405385521112
23.67 min | kaempferol 3-rhamninoside,23.67,839.31118,0.199270298359248,0.6481957644203113,2.748838457490664,0.0009784760106071,0.7355450703898521,0.0346942116942212
23.7 min | Methyl salicylate O-[rhamnosyl-(1->6)-glucoside],23.7,495.12974,,0.5974823611130338,3.738640764690712,0.0544937958189925,0.6904796156461085,0.17791681103256476
23.7 min | glutamic acid betaine,23.7,617.17925,0.6220245949427011,0.666680087717117,0.9611687406112522,0.2354388424352479,0.750966721971728,0.3820693788520298
23.73 min | glutamic acid betaine,23.73,581.2025,0.7234596441818595,0.4307299625020542,0.6966981987860267,0.2131253758233256,0.5507759983475341,0.3623828287082428
"23.79 min | (S)-7-(3-Amino-1-pyrrolidinyl)-1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-1,8-naphthyridine-3-carboxylic acid",23.79,331.12192,,0.2364505498315197,,0.0188239170133854,0.40317406018742263,0.12869222473012493
23.82 min | Neryl rhamnosyl-glucoside,23.82,461.23932,0.5267247312246416,0.1932048925603753,-1.0233533045871717,0.0219109457886402,0.35844457727148515,0.13388945192085008
23.85 min | 6-(D-alpha-(3-Guanylureido)phenylacetamido)penicillanic acid,23.85,433.13034,,0.2051370982774207,-6.93054504232223,0.1249521727891929,0.36887282906395574,0.2713191047513764
23.91 min | 19-Hydroxycinnzeylanol 19-glucoside,23.91,597.23524,1.1601330976501751,0.1600830654594129,0.9892103602960688,0.068190964930804,0.34924915228980913,0.198256258040927
